Date,Solar_Index,Temperature,Humidity,Wind_Speed,Precipitation,Location
2023-01-23,4.9082,20.24,55.66,2.02,0.0,Ghatkopar
2023-01-24,4.4309,19.56,58.97,1.91,0.0,Ghatkopar
2023-01-25,4.4254,20.0,53.08,2.32,0.0,Ghatkopar
2023-01-26,4.3092,21.83,56.78,1.95,0.0,Ghatkopar
2023-01-27,4.4069,25.15,60.04,2.17,0.0,Ghatkopar
2023-01-28,4.9666,24.97,58.91,2.69,0.02,Ghatkopar
2023-01-29,3.925,23.98,79.7,1.52,0.15,Ghatkopar
2023-01-30,4.5946,23.32,73.76,1.83,0.01,Ghatkopar
2023-01-31,4.6243,24.44,56.37,2.48,0.0,Ghatkopar
2023-02-01,4.2247,25.45,54.2,3.07,0.18,Ghatkopar
2023-02-02,4.7095,25.3,51.16,2.91,0.01,Ghatkopar
2023-02-03,5.3839,24.33,42.21,2.54,0.0,Ghatkopar
2023-02-04,5.4818,24.42,41.77,1.88,0.0,Ghatkopar
2023-02-05,5.6261,24.39,40.27,1.98,0.0,Ghatkopar
2023-02-06,5.5884,23.83,38.86,2.02,0.0,Ghatkopar
2023-02-07,5.7382,23.56,44.8,2.17,0.0,Ghatkopar
2023-02-08,5.839,24.91,41.16,2.14,0.0,Ghatkopar
2023-02-09,5.8951,25.9,34.55,2.5,0.0,Ghatkopar
2023-02-10,6.0907,25.86,36.02,2.01,0.0,Ghatkopar
2023-02-11,6.1682,25.24,33.81,2.28,0.0,Ghatkopar
2023-02-12,6.0564,26.34,30.28,2.85,0.0,Ghatkopar
2023-02-13,6.1634,26.4,31.1,3.0,0.0,Ghatkopar
2023-02-14,6.2614,26.53,26.8,2.82,0.0,Ghatkopar
2023-02-15,6.3269,26.88,26.95,2.32,0.0,Ghatkopar
2023-02-16,6.373,27.73,26.54,2.78,0.0,Ghatkopar
2023-02-17,6.3866,28.16,26.14,2.75,0.0,Ghatkopar
2023-02-18,6.4073,28.17,27.61,2.63,0.0,Ghatkopar
2023-02-19,6.4601,28.19,28.08,2.48,0.0,Ghatkopar
2023-02-20,6.3502,27.13,29.22,1.81,0.0,Ghatkopar
2023-02-21,6.0468,26.74,30.0,2.08,0.0,Ghatkopar
2023-02-22,6.0214,26.76,32.41,2.16,0.0,Ghatkopar
2023-02-23,6.163,27.61,27.93,2.1,0.0,Ghatkopar
2023-02-24,6.2136,28.38,24.65,2.39,0.0,Ghatkopar
2023-02-25,6.0602,28.21,24.79,2.33,0.0,Ghatkopar
2023-02-26,6.2585,28.29,21.77,2.54,0.0,Ghatkopar
2023-02-27,6.3209,28.1,21.92,2.46,0.0,Ghatkopar
2023-02-28,6.0955,28.02,25.94,2.07,0.0,Ghatkopar
2023-03-01,5.8373,28.53,28.07,1.81,0.0,Ghatkopar
2023-03-02,5.581,29.63,29.48,1.96,0.0,Ghatkopar
