Model,MAE (kWh/m²/day),RMSE (kWh/m²/day),R2 Score,Accuracy (%)
XGBoost,0.4232317685145252,0.5989999769907022,0.8936454100687354,89.36454100687354
Random Forest,0.43938260417956765,0.6275657845671087,0.8832596097122773,88.32596097122773
Prophet,1.177810222492872,1.6708343088239874,0.17249734673755024,17.249734673755025
ARIMA,2.1591329274173505,2.7348524087025496,-1.2170240975992854,-121.70240975992854
